Date,Description,Amount,Category,,,,,,,,,,
1/5/24,Whole Foods Market, $127.43 ,Food,,,,,,,,,,
1/7/24,Shell Gas Station, $45.00 ,Transport ,,,,,,,,,,
1/10/24,Netflix Subscription, $15.99 ,Entertainment,,,,,,,,,,
1/12/24,Starbucks, $8.50 ,Food,,,,,,,,,,
1/15/24,Amazon Purchase, $89.99 ,Shopping,,,,,,,,,,
1/18/24,Electric Bill, $102.34 ,Utilities,,,,,,,,,,
1/20/24,Target, $64.78 ,Shopping,,,,,,,,,,
1/22/24,Chipotle, $12.50 ,Food,,,,,,,,,,
1/25/24,Gym Membership, $49.99 ,Health ,,,,,,,,,,
1/28/24,Movie Tickets, $32.00 ,Entertainment,,,,,,,,,,
2/1/24,Rent Payment," $1,500.00 ",Housing,,,,,,,,,,
2/3/24,Trader Joe's, $98.76 ,Food,,,,,,,,,,
2/5/24,Uber Ride, $18.50 ,Transport ,,,,,,,,,,
2/8/24,Internet Bill, $79.99 ,Utilities ,,,,,,,,,,
2/10/24,Resturant Dinner, $67.89 ,Food,,,,,,,,,,
2/12/24,Gas Station, $52.00 ,Transport ,,,,,,,,,,
2/15/24,Phone Bill, $85.00 ,Utilities ,,,,,,,,,,
2/18/24,Grocery Store, $143.21 ,Food,,,,,,,,,,
2/20/24,Coffee Shop, $6.75 ,Food,,,,,,,,,,
2/22/24,Spotify Premium, $10.99 ,Entertainment,,,,,,,,,,
2/25/24,Car Insuance, $125.00 ,Insurance,,,,,,,,,,
2/28/24,Pharmacy, $34.50 ,Health ,,,,,,,,,,
3/1/24,Rent Payment," $1,500.00 ",Housing,,,,,,,,,,
3/3/24,Costco, $215.67 ,Shopping,,,,,,,,,,
3/5/24,Gas Station, $48.30 ,Transport ,,,,,,,,,,
3/8/24,Water Bill, $45.20 ,Utilities,,,,,,,,,,
3/10/24,Lunch , $15.99 ,Food,,,,,,,,,,
3/10/24,Home Depot, $87.45 ,Home,,,,,,,,,,
3/13/24,Grocery Store, $156.34 ,Food,,,,,,,,,,
3/18/24,Concert Tickets, $95.00 ,Entertainment,,,,,,,,,,
